,title,author,image,description
12,The Piano Tuner : A Novel,DANIEL MASON,http://images.amazon.com/images/P/1400030382.01.MZZZZZZZ.jpg,"A New York Times Notable Book A San Francisco Chronicle, San Jose Mercury News, and Los Angeles Times Best Book of the Year “A gripping and resonant novel. . . . It immerses the reader in a distant world with startling immediacy and ardor. . . . Riveting.” —Michiko Kakutani, The New York Times In 1886 a shy, middle-aged piano tuner named Edgar Drake receives an unusual commission from the British War Office: to travel to the remote jungles of northeast Burma and there repair a rare piano belonging to an eccentric army surgeon who has proven mysteriously indispensable to the imperial design. From this irresistible beginning, The Piano Tuner launches readers into a world of seductive, vibrantly rendered characters, and enmeshes them in an unbreakable spell of storytelling."
13,Breathing Room (Avon Romance),Susan Elizabeth Phillips,http://images.amazon.com/images/P/0061032093.01.MZZZZZZZ.jpg,"Join the New York Times bestselling author on a journey to the sun-washed hills of Tuscany. Another sexy, wonderful, contemporary love story with all the heart, wisdom, and wit that have made Susan Elizabeth Phillips the gold standard for women's fiction. She's Dr. Isabel Favor, America's diva of self-help. He's Ren Gage, Hollywood's favorite villain. Sometimes you just know that God has a sense of humor. Dr. Isabel Favor, author of Four Cornerstones for a Favorable Life, has sacrificed everything to build her self-help empire. Then, in a matter of weeks, it all comes crashing down. She loses her money to an unscrupulous accountant, her fiancé to a frumpy older woman, and her reputation to headlines denouncing her as a fraud. America's diva of self-help soon discovers she can fix everyone's life but her own. Broke, heartsick, and soul-weary, she heads for Italy in search of a little breathing room. Lorenzo Gage makes his living killing people... on the silver screen, that is. He's viciously handsome and sublimely talented. But as he begins his vacation in Italy, he's also vaguely dissatisfied. Being a villain with a face to die for has its rewards, but he hates the feeling that everything he's neglected in life is catching up with him. Then he spots Isabel sipping a glass of wine in a sidewalk café. A good guy wouldn't think of seducing such a tidy-looking woman... but he'd never seen the fun in playing the hero. It doesn't take long for Isabel to realize she's escaped one kind of chaos only to be plunged into another. Even the shelter of a simple stone farmhouse nestled in a Tuscan olive grove can't provide her with the refuge she needs—not when the townspeople are scheming to drive her away, and her plan to restore her reputation has come up empty. And especially not when the man who deceived her refuses to leave her in peace. Breathing Room is a book for any woman who's dreamed of wandering through a vineyard, of lazing under the Tuscan sky, or of reforming a deliciously wicked man. This is a story of hope and renewal, of love and redemption when it's needed the most. Sometimes it takes a special place... a special love... a little breathing room... for life to deliver all its glorious promise."
14,Things Fall Apart,Chinua Achebe,http://images.amazon.com/images/P/0030554381.01.MZZZZZZZ.jpg,"Presents the contemporary African writer's classic novel depicting the destruction of traditional tribal life by the white man, along with a collection of essays by various authors and a biographical sketch of the author."
15,Mixed Blessings,DANIELLE STEEL,http://images.amazon.com/images/P/0440214114.01.MZZZZZZZ.jpg,"Three couples must make decisions about having children, and the outcome will affect, in unexpected ways, the ties that bind them as lovers, partners, and friends. By the author of Jewels. Reprint."
16,Kill and Tell,Linda Howard,http://images.amazon.com/images/P/0671568833.01.MZZZZZZZ.jpg,Even if they lead to murder ...
17,Ruins (The X-Files),Kevin J. Anderson,http://images.amazon.com/images/P/0061057363.01.MZZZZZZZ.jpg,"In the most ambitious and exciting X-Files adventure to date, Mulder and Scully fly to the Yucatan jungle to investigate a missing team of archaelogists. Their exploration leads to a strange electronic signal coming from beneath ancient ruins -- a signal aimed upward, at the stars...."
18,Random Acts of Kindness,Conari Press,http://images.amazon.com/images/P/0943233437.01.MZZZZZZZ.jpg,"Sometimes the smallest gesture makes the biggest difference. This little book shows how to start--with the small, with the particular, with the individual--in order to make a difference in the world. Features true stories about acts of kindness and generosity of spirit, plus suggestions for living more compassionately and many inspirational quotes."
19,The Ice House,Minette Walters,http://images.amazon.com/images/P/0330327917.01.MZZZZZZZ.jpg,"Winner of the CWA John Creasey Award for Best First Novel of the Year - and the start of Minette Walter's long list of bestsellers.It was evident, if there were no other entrance to the ice house, that the body had at some point traversed this thorny barrier . . . The big question was, how long ago? How long had that nightmare been there?' The people of Streech village had never trusted the three women living up at the Grange - not since Phoebe Maybury's husband suddenly, inexplicably, vanished. Ten years later a corpse is discovered in the grounds and Phoebe's nightmare begins. For once they have identified the body the police are determined to charge her with murder . . . 'The most impressive first novel in years' Daily Telegraph 'A seductive writer with an imagination that makes her dangerous to know' Sunday Express 'Terrific first novel with a high Rendellesque frisson count' The Times"
20,Saint Nick,Gary Ogden Harper,http://images.amazon.com/images/P/0971263906.01.MZZZZZZZ.jpg,Bishop Nicholas of Smyrna is transported from the fourth century to modern times to see what has happened to the Christmas holiday tradition he originated.
21,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,http://images.amazon.com/images/P/0743420373.01.MZZZZZZZ.jpg,Get the answers in this book--and discover the secrets to building wealth in America Today. You'll be surprised at what you find out ...
22,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,http://images.amazon.com/images/P/0743222229.01.MZZZZZZZ.jpg,"""They misunderestimated me."" Or did they? Judge for yourself. Here are over 100 memorable misstatements by our syntactically challenged president, collected, annotated, and introduced by Slate magazine's Jacob Weisberg. ""I know the human being and fish can coexist peacefully."" ""Families is where our nation finds hope, where wings take dream."" ""We'll let our friends be the peacekeepers and the great country called America will be the pacemakers."" ""It's clearly a budget. It's got a lot of numbers in it."" ""I know how hard it is for you to put food on your family."" ""I do know I'm ready for the job [the presidency]. And if not, that's just the way it goes."""
23,Russka : The Novel of Russia,EDWARD RUTHERFURD,http://images.amazon.com/images/P/0804109729.01.MZZZZZZZ.jpg,"Four families, divided by ethnicity but united in shaping the destiny of their land, face love, hate, happiness, and hardship as Russia is transformed through history. Reprint."
24,REMEMBER ME,Mary Higgins Clark,http://images.amazon.com/images/P/0671867083.01.MZZZZZZZ.jpg,"After their young son's tragic death, Menley and Tony Richardson, a couple living on Cape Cod, try to begin life anew with a baby daughter, though an evil fate still seems to stalk them. 150,000 first printing. $150,000 ad/promo. Lit Guild Main. Tour."
25,Proof,Dick Francis,http://images.amazon.com/images/P/0449207544.01.MZZZZZZZ.jpg,"When a typically perfect party at wine merchant Tony Beach's is brutally crashed, he finds himself caught in the terrifying midst of a mystery that begins with sham scotch and counterfeit claret and escalates to hijacking and murder...."
26,Creature,John Saul,http://images.amazon.com/images/P/0553284118.01.MZZZZZZZ.jpg,"A powerful high-tech company. A postcard-pretty company town. Families. Children. Sunshine. Happiness. A high school football team that never-ever loses. And something else. Something horrible ... Now, there is a new family in town. A shy, nature-loving teenager. A new hometown. A new set of bullies. Maybe the team's sports clinic can help him. Rebuild him. They won't hurt him again. They won't dare."
27,Neanderthal: A Novel,John Darnton,http://images.amazon.com/images/P/0312963009.01.MZZZZZZZ.jpg,"Not since Jurassic Park has a novel so enthralled readers everywhere. Now, enter the world of Neanderthal... The expedition of the century...uncovers the find of the millennium...Neanderthal. In the remote mountains of central Asia, an eminent Harvard archeologist discovers something extraordinary. He sends a cryptic message to two colleagues. But then, he disappears. Matt Mattison and Susan Arnot-- once lovers, now academic rivals-- are going where few humans have ever walked, looking for a relic band of creatures that have existed for over 40,000 years, that possess powers man can only imagine, and that are about to change the face of civilization forever."
28,SILENT NIGHT : The Story of the World War I Christmas Truce,Mary Higgins Clark,http://images.amazon.com/images/P/0684815451.01.MZZZZZZZ.jpg,"In New York with his family, so his father can get treatment for leukemia, seven-year-old Brian Dornan sees his mother's wallet being lifted. Desperate to retrieve the St. Christopher medal tucked inside--which he believes to be protecting his father--Brian follows the thief into the subway, and into the most dangerous adventure of his young life. This edition includes a special interview with Mary Higgins Clark. Copyright © Libri GmbH. All rights reserved."
29,Cranberry Queen,Kathleen DeMarco,http://images.amazon.com/images/P/0786890371.01.MZZZZZZZ.jpg,"Diana Moore, a thirty-something professional in New York City, is brooding over rumors about her ex-lovers beautiful new girlfriend, when the unimaginable happens: a terrible car accident in which her entire family is killed. Seeking refuge from her well-meaning friends, Diana heads out of the city and ends up in the Pine Barrens, an oasis of simple living in New Jersey where cranberry bogs abound. There, in a place where no one knows her history, Diana is free to take a hard look at her life and to begin to explore avenues of change and renewal."
30,Gods and Generals,Jeff Shaara,http://images.amazon.com/images/P/0345422473.01.MZZZZZZZ.jpg,"The New York Times bestselling prequel to the Pulitzer Prize–winning classic The Killer Angels In this brilliantly written epic novel, Jeff Shaara traces the lives, passions, and careers of the great military leaders from the first gathering clouds of the Civil War. Here is Thomas “Stonewall” Jackson, a hopelessly by-the-book military instructor and devout Christian who becomes the greatest commander of the Civil War; Winfield Scott Hancock, a captain of quartermasters who quickly establishes himself as one of the finest leaders of the Union army; Joshua Chamberlain, who gives up his promising academic career and goes on to become one of the most heroic soldiers in American history; and Robert E. Lee, never believing until too late that a civil war would ever truly come to pass. Profound in its insights into the minds and hearts of those who fought in the war, Gods and Generals creates a vivid portrait of the soldiers, the battlefields, and the tumultuous times that forever shaped the nation."
31,The Midwife's Apprentice (Trophy Newbery),Karen Cushman,http://images.amazon.com/images/P/006440630X.01.MZZZZZZZ.jpg,"'Like Cushman's 1995 Newbery Honor Book, Catherine, Called Birdy, this novel is about a strong young woman in medieval England who finds her own way home. This is a world, like Chaucer's, that's . . . dangerous, primitive and raucous. From the first page you're caught by the spirit of the homeless, nameless waif, somewhere around 12 years old. She gets the village midwife to take her in, befriends a cat, names herself Alyce, and learns something about delivering babies. When she fails, she runs away, but she picks herself up again and returns to work and independence.' --ALA Booklist (starred review). '. . .A fascinating view of a far distant time.' -- The Horn Book (starred review)"
32,My Sweet Audrina,V.C. Andrews,http://images.amazon.com/images/P/0671729462.01.MZZZZZZZ.jpg,"Convinced that his second Audrina has the same clairvoyant powers as his first daughter, Damien Adare opposes the young woman's marriage, but Audrina marries her beloved Arden anyway, only to be haunted by her past and her memories"
33,The Night Before,Lisa Jackson,http://images.amazon.com/images/P/0821769367.01.MZZZZZZZ.jpg,"Haunted by recurring blackouts and dark secrets that have tormented her family for generations, Cailtyn Montgomery confides in Adam Hunt, a new psychologist in Savannah--a man who seems to hold the key to her past and future. Original."
34,Take the Cannoli : Stories From the New World,Sarah Vowell,http://images.amazon.com/images/P/0684867974.01.MZZZZZZZ.jpg,"""While tackling subjects such as identity, politics, religion, art, and history, these autobiographical tales are written with a biting humor, placing Vowell solidly in the tradition of Mark Twain and Dorothy Parker. Vowell searches the streets of Hoboken for traces of the town's favorite son, Frank Sinatra. She goes under cover of heavy makeup in an investigation of goth culture, blasts cannonballs into a hillside on a father-daughter outing, and maps her family's haunted history on a road trip down the Trail of Tears.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved"
35,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,http://images.amazon.com/images/P/0671528904.01.MZZZZZZZ.jpg,"Discover the classic, behind-the-scenes chronicle of John E. Douglas’ twenty-five-year career in the FBI Investigative Support Unit, where he used psychological profiling to delve into the minds of the country’s most notorious serial killers and criminals—the basis for the upcoming Netflix original series. In chilling detail, the legendary Mindhunter takes us behind the scenes of some of his most gruesome, fascinating, and challenging cases—and into the darkest recesses of our worst nightmares. During his twenty-five year career with the Investigative Support Unit, Special Agent John Douglas became a legendary figure in law enforcement, pursuing some of the most notorious and sadistic serial killers of our time: the man who hunted prostitutes for sport in the woods of Alaska, the Atlanta child murderer, and Seattle's Green River killer, the case that nearly cost Douglas his life. As the model for Jack Crawford in The Silence of the Lambs, Douglas has confronted, interviewed, and studied scores of serial killers and assassins, including Charles Manson, Ted Bundy, and Ed Gein, who dressed himself in his victims' peeled skin. Using his uncanny ability to become both predator and prey, Douglas examines each crime scene, reliving both the killer's and the victim's actions in his mind, creating their profiles, describing their habits, and predicting their next moves."
36,The World Below (Ballantine Reader's Circle),SUE MILLER,http://images.amazon.com/images/P/0345440765.01.MZZZZZZZ.jpg,"After being diagnosed with tuberculosis in 1919, a young woman is sent to a sanitarium, where she rediscovers the pleasures of unfettered youth and falls in love with a doomed man."
37,Crazy in Alabama,Mark Childress,http://images.amazon.com/images/P/0345432479.01.MZZZZZZZ.jpg,"In Alabama during the racially restless summer of 1965, an orphan boy comes of age, and his aunt escapes from an unhappy marriage."
38,Darkness,Sam Siciliano,http://images.amazon.com/images/P/0786014210.01.MZZZZZZZ.jpg,"The year is 1899. At the dawn of a new century, London physician Dr. Andrew Quimby has witnessed much pain and suffering in the city's infamous East End. When a series of murders leaves the victims drained of blood, neither Andrew nor his lover, La Contessa di Rospo, believes the rumors that the killer is not human. But the Contessa's expertise in such matters belies a secret that will place them both in grave danger."
39,Kiss of the Bees: A Novel of Suspense,J.A. Jance,http://images.amazon.com/images/P/0380805995.01.MZZZZZZZ.jpg,"Twenty years ago, a darkness rose up out of the blistering heat of the Arizona desert and descended upon the Walker family of Tucson. A personified evil, a serial killer named Andrew Carlisle, brought blood and terror into their world, nearly murdering Diana Ladd Walker and her young son, Davy. Now much has changed. The family has grown larger. There's Lani, the beloved adopted daughter—a beautiful Native American teenager ""kissed by the bees"" and destined, according to Tohono 0'othham lore, to become a woman of great spiritual power. And now that the psychopath Carlisle has died in prison, Brandon and Diana Walker believe that their long nightmare is finally over. They are wrong. The monster is dead, but his malevolence lives on . . . in another."
40,Inconceivable,Ben Elton,http://images.amazon.com/images/P/0552146986.01.MZZZZZZZ.jpg,"Humour. Lucy desperately wants a baby. Sam is determined to write a hit movie. The problem is that both their efforts seem to be unfruitfu- l. What Sam and Lucy are about to go through is absolutely inconceivable. The question is, can their love survive?"
41,Thirty Nothing,Lisa Jewell,http://images.amazon.com/images/P/0452282128.01.MZZZZZZZ.jpg,"On his 30th birthday, Dig Ryan bumps into his first love, Delilah, whom he's not seen in 12 years. Delilah was the most beautiful girl in school and a constant thorn in the side of Nadine, who has been Dig's best friend for 15 years. Nadine isn't about to let Delilah outshine her again."
42,The World According to Garp (Ballantine Reader's Circle),John Irving,http://images.amazon.com/images/P/0345418018.01.MZZZZZZZ.jpg,"T.S. Garp, a man with high ambitions for an artistic career and with obsessive devotion to his wife and children, and Jenny Fields, his famous feminist mother, find their lives surrounded by an assortment of people including teachers, whores, and radicals"
43,Name of the Rose,Umberto Eco,http://images.amazon.com/images/P/0330284142.01.MZZZZZZZ.jpg,"In 1327, Franciscans in a wealthy Italian abbey are suspected of heresy, and Brother William of Bakersville arrives to investigate. His delicate mission is overshadowed by seven bizarre deaths that take place in the same number of days, and Brother William must turn detective to sort things out."
44,The Visitation,Frank Peretti,http://images.amazon.com/images/P/0849911796.01.MZZZZZZZ.jpg,"Nothing interesting ever happened in the small town of Antioch, Washington, until a mysterious prophet appears claiming to be the risen Messiah."
45,Captive Star,Nora Roberts,http://images.amazon.com/images/P/0373484895.01.MZZZZZZZ.jpg,"Captive Star by Nora Roberts released on Dec 25, 2000 is available now for purchase."
46,The Indwelling: The Beast Takes Possession (Left Behind No. 7),Tim Lahaye,http://images.amazon.com/images/P/0842329293.01.MZZZZZZZ.jpg,The beast takes possession.
47,Salem Falls,Jodi Picoult,http://images.amazon.com/images/P/0743418700.01.MZZZZZZZ.jpg,"Robbed of his teaching career and reputation by a student's false accusations, Jack St. Bride is struggling to rebuild his life, but accusations of rape by teenage girls from his former school threaten to destroy him once again."
48,This Year It Will Be Different: And Other Stories,Maeve Binchy,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings"
49,I'm the One That I Want,Margaret Cho,http://images.amazon.com/images/P/0345440145.01.MZZZZZZZ.jpg,"Comedian. Icon. TV star. Role model. Trash talker. Fag hag. Gypsy. Tramp. Thief. Margaret Cho displays her numerous sides in this funny, fierce, and honest memoir. As one of the country’s most visible Asian Americans, she has a unique perspective on identity and acceptance. As one of the country’s funniest and most quoted personalities, she takes no prisoners. And as a warm and wise woman who has seen the highs and lows of life, she has words of encouragement for anyone who has ever felt like an outsider. With I’m the One That I Want, Margaret Cho has written a book every bit as hilarious, shocking, and insightful as she is."
50,Promises,Belva Plain,http://images.amazon.com/images/P/0440216877.01.MZZZZZZZ.jpg,"Margaret Crane's life becomes more complicated as she finds out the cousin she raised is in love with a married man, and her husband is having an affair."
51,The Little Prince (Wordsworth Collection),Antoine de Saint-ExupÃ©ry,http://images.amazon.com/images/P/1853261580.01.MZZZZZZZ.jpg,The story of an airman's discovery in the desert of a small boy from another planet.ther planet._
52,"The Vile Village (A Series of Unfortunate Events, Book 7)",Lemony Snicket,http://images.amazon.com/images/P/0439386012.01.MZZZZZZZ.jpg,"Under a new government program based on the saying ""It takes a village to raise a child,"" the Baudelaire orphans are adopted by an entire town, with disastrous results."
53,Beauty,John Miller,http://images.amazon.com/images/P/0811813401.01.MZZZZZZZ.jpg,"Camille Paglia talks about pagan perfection, Sophia Loren gives the girls a few tips on vanity, Edmund Burke waxes philosophical about the qualities of beauty, Toni Morrison has a couple of things to say about Ernest Hemingway's idea of good looks, and Helen Gurley Brown cautions us never to apply lipliner with a dull pencil. Theoretical writings on bosom size, ugliness, and hair loss; odes and poetic rhapsodies in the name of beauty; two bewitching versions of ""Beauty and the Beast""; and a foreword by Diane Ackerman make Beauty alluring to every beholder."
54,Trans-Sister Radio (Vintage Contemporaries (Paperback)),CHRIS BOHJALIAN,http://images.amazon.com/images/P/0375705171.01.MZZZZZZZ.jpg,"From the bestselling author of The Flight Attendant comes a thought-provoking story about gender, love, and new relationships. When Allison Banks develops a crush on Dana Stevens, she knows that he will give her what she needs most: attention, gentleness, kindness, passion. Her daughter, Carly, enthusiastically witnesses the change in her mother. But then a few months into their relationship, Dana tells Allison his secret: he has always been certain that he is a woman born into the wrong skin, and soon he will transition. Allison, overwhelmed by the depth of her passion, finds herself unable to leave Dana. By deciding to stay, she finds she must confront questions most people never even consider. Not only will her own life and Carly’s be irrevocably changed, she will have to contend with the outrage of a small Vermont community and come to terms with her lover’s new body–hoping against hope that her love will transcend the physical."
55,Kushiel's Chosen (Kushiel's Legacy),Jacqueline Carey,http://images.amazon.com/images/P/0765345048.01.MZZZZZZZ.jpg,"In the sequel to Kushiel's Dart, PhFdre n= Delaunay, now ruler of her people, faces new challenges, including court intrigues, factions out to remove her from her throne, the return of the ruthless Melisande Sharizai, and a horrific conspiracy that could destroy all humankind. Reprint."
56,All the Names,Jose Saramago,http://images.amazon.com/images/P/0156010593.01.MZZZZZZZ.jpg,"When a drone in the Central Registry discovers a stray unfiled birth certificate, he decides to investigate the identity of the woman--the first step in an obsession that will lead him to her. By the Nobel Prize-winning author of Blindness. Reader's Guide included. Reprint. 60,000 first printing."
57,Outer Banks,Anne Rivers Siddons,http://images.amazon.com/images/P/006016249X.01.MZZZZZZZ.jpg,"Reunited with her beloved college chums after years of separation, Kate Abrams, now a successful interior designer, must face the many bitter truths of her own past"
58,After All These Years,Susan Isaacs,http://images.amazon.com/images/P/0061091790.01.MZZZZZZZ.jpg,"After 25 years of marriage, he left her for a younger woman. Now he's dead. Whodunnit? A deliciously witty, insightful look at love, marriage, and homicide Long Island-style."
59,Out on a Limb,Shirley McClaine,http://images.amazon.com/images/P/0553240951.01.MZZZZZZZ.jpg,"Her most controversial book is one you will never forget. An outspoken thinker, a celebrated actress, a truly independent woman, Shirley MacLaine goes beyond her previous two bestsellers to take us on an intimate yet powerful journey into her personal life and inner self. An intense, clandestine love affair with a prominent politician sparks Shirley MacLaine's quest of self-discovery. From Stockholm to Hawaii to the mountain vastness of Peru, from disbelief to radiant affirmation, she at last discovers the roots of her very existence. . . and the infinite possibilities of life. Shirley MacLaine opens her heart to explore the meaning of a great and enduring passion with her lover Gerry; the mystery of her soul's connection with her best friend David; the tantalizing secrets behind a great actor's inspiration with the late Peter Sellers. And through it all, Shirley MacLaine's courage and candor new doors, new insights, new revelations-and a luminous new world she invites us all to share."
60,The Funny Thing Is...,Ellen DeGeneres,http://images.amazon.com/images/P/0743247612.01.MZZZZZZZ.jpg,"A collection of essays by the popular comedian considers such topics as her coffee addiction, her experiences in church, and the devious tactics of salespeople."
61,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,http://images.amazon.com/images/P/0316735027.01.MZZZZZZZ.jpg,"An unemployed actress, Olivia Hunt is forced to leave Hollywood to return home at the request of her younger sister, Madeleine, and finds herself struggling to help her sister, keep her parents under control, and reconnect with an old boyfriend, all the while attempting to balance her newly energized film career with her family needs. A first novel. 100,000 first printing."
62,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,http://images.amazon.com/images/P/0553568701.01.MZZZZZZZ.jpg,An Alex Delaware novel.
63,The Shape of Snakes,Minette Walters,http://images.amazon.com/images/P/051513306X.01.MZZZZZZZ.jpg,"Twenty years after stumbling upon a black woman--an unpopular recluse known as ""Mad Annie""--Dying in the gutter, Mrs. Ranelagh continues to believe that the woman had been murdered and tries to uncover the truth"
64,Framed in Lace (Needlecraft Mysteries),Monica Ferris,http://images.amazon.com/images/P/0425171493.01.MZZZZZZZ.jpg,"When the historic Hopkins ferry is raised from the lake, a skeleton is discovered. Unfortunately, the only evidence is a piece of lace-like fabric. But once Betsy Devonshire and the patrons of her needlecraft shop lend a hand, they're sure to stitch together the details of this mystery... ""Filled with great small-town characters...A great time!""Rendezvous"
65,Trinity,Leon Uris,http://images.amazon.com/images/P/0553100777.01.MZZZZZZZ.jpg,"Conor Larkin: gun-runner and maker of revolutions. Shelley MacCleod: the working class Protestant girl who joined herself to Conor and his bloody, zealous cause. Roger Hubble: member of an arrogant clan. Lady Caroline: the most beautiful woman anyone had ever seen."
66,Many Waters,Madeleine L'Engle,http://images.amazon.com/images/P/0440405483.01.MZZZZZZZ.jpg,"""Sandy and Dennys, twins and middle children in the Newbery-winning ""A Wrinkle in Time,"" are transported to the time just before the Flood. . .This will be enjoyed for its suspense and humor as well as its other levels of meaning."" --Pointer, ""Kirkus Reviews "" ""L'Engle blends speculative fiction with biblical theology to create another provocative spellbinding tale."" --""Philadelphia Inquirer"""
67,With a Tangled Skein (Incarnations of Immortality (Paperback)),PIERS ANTHONY,http://images.amazon.com/images/P/0345318854.01.MZZZZZZZ.jpg,"Here in this third complete-in-itself novel of the Incarnations of Immortality, Piers Anthony weaves a fascinating plot as tangled as any skein of fate. This is Anthony at his most ingenious, with another gripping fantasy of the struggle of the incarnations against the machinations of Satan. When the man Niobe loved was shot, she learned that she had been the target, in a devious plot of the Devil's. Hoping for revenge. Niobe accepted a position as one of the three Aspects of Fate, only to find that Satan's plots were tangled into the very Tapestry of Fate. Now the Evil One was laying a trap to ruin Niobe's granddaughter Luna, who threatened his plans—and he had tricked her son into Hell. Niobe's only chance to save her son and Luna was to accept a challenge by the Prince of Deceit—a challenge to be decided in Hell and in a maze of Satan's devising!"
